post_id,user_id,caption,content_type,views,likes,shares,post_date
426,378,Having a great day! #travel,Video,86456,5820,700,2024-04-25
427,79,Having a great day! #fashion,Reel,82654,9889,1876,2024-11-07
428,493,Having a great day! #tech,Reel,40030,1537,356,2024-02-23
429,120,Having a great day! #music,Reel,68833,1156,936,2024-01-30
430,381,Having a great day! #food,Video,27163,2138,1787,2024-04-15
431,74,Having a great day! #tech,Image,52428,9919,1658,2024-05-06
432,234,Having a great day! #fashion,Reel,93377,4883,805,2024-11-09
433,292,Having a great day! #food,Video,91672,725,495,2025-03-29
434,284,Having a great day! #food,Video,10131,1733,1038,2025-01-27
435,384,Having a great day! #tech,Video,45143,6552,1757,2024-04-09
436,281,Having a great day! #coding,Reel,57473,2307,969,2025-02-24
437,40,Having a great day! #travel,Reel,35915,2524,907,2024-07-02
438,228,Having a great day! #travel,Reel,711,807,1586,2024-07-12
439,349,Having a great day! #food,Image,12761,2760,1487,2024-03-26
440,220,Having a great day! #food,Image,28120,1744,735,2024-06-14
441,23,Having a great day! #food,Image,53983,4950,1576,2024-11-02
442,357,Having a great day! #nature,Reel,91027,2187,685,2024-03-30
443,328,Having a great day! #coding,Reel,77100,227,481,2024-01-11
444,152,Having a great day! #coding,Image,49350,3358,1319,2024-01-20
445,213,Having a great day! #music,Image,30116,5437,706,2024-05-04
446,94,Having a great day! #tech,Reel,892,1068,1786,2024-09-08
447,478,Having a great day! #coding,Image,66609,1290,877,2025-01-06
448,326,Having a great day! #coding,Video,63168,1320,1952,2025-05-12
449,196,Having a great day! #nature,Image,99565,4928,1223,2024-10-02
450,70,Having a great day! #tech,Image,20380,3116,13,2024-01-07
451,302,Having a great day! #food,Video,5189,2049,793,2025-04-22
452,353,Having a great day! #fashion,Reel,7663,6323,1902,2024-08-05
453,484,Having a great day! #fitness,Video,32529,9875,1189,2025-05-02
454,462,Having a great day! #food,Reel,24849,6939,344,2025-02-28
455,373,Having a great day! #food,Image,83485,9391,1595,2025-02-12
456,1,Having a great day! #food,Image,91367,6855,1080,2024-08-01
457,231,Having a great day! #books,Image,24431,3302,125,2025-01-18
458,151,Having a great day! #food,Video,16442,4544,136,2024-06-24
459,22,Having a great day! #food,Image,68563,128,774,2024-11-04
460,162,Having a great day! #coding,Video,87273,6538,780,2024-11-08
461,445,Having a great day! #gaming,Video,91754,4082,759,2024-08-19
462,24,Having a great day! #fashion,Reel,58336,3836,1247,2024-09-05
463,311,Having a great day! #coding,Reel,18864,8530,1799,2024-10-19
464,489,Having a great day! #food,Video,86953,8868,498,2024-05-04
465,132,Having a great day! #tech,Reel,16234,2234,1894,2024-09-30
466,194,Having a great day! #nature,Reel,84261,9216,1983,2025-03-14
467,60,Having a great day! #books,Video,16800,5144,1958,2024-07-13
468,479,Having a great day! #fitness,Reel,87098,9866,1214,2024-04-23
469,76,Having a great day! #books,Video,19219,572,1231,2024-06-12
470,193,Having a great day! #travel,Video,20114,3460,1741,2025-01-10
471,338,Having a great day! #fitness,Image,71919,6437,696,2024-08-04
472,202,Having a great day! #food,Image,42491,9519,1778,2025-02-16
473,412,Having a great day! #coding,Reel,85459,159,746,2025-01-06
474,243,Having a great day! #fitness,Image,15480,8454,1336,2024-06-22
475,489,Having a great day! #fitness,Reel,97774,6160,1593,2024-12-20
476,43,Having a great day! #food,Video,84170,8361,465,2024-01-12
477,360,Having a great day! #nature,Video,74997,2061,208,2024-06-15
478,429,Having a great day! #books,Reel,93652,2043,1548,2025-01-20
479,295,Having a great day! #coding,Reel,21230,1448,1156,2024-05-11
480,154,Having a great day! #travel,Reel,38556,8760,916,2024-03-12
481,73,Having a great day! #music,Image,17690,9875,1135,2024-04-20
482,205,Having a great day! #tech,Image,33415,6978,1930,2024-12-21
483,421,Having a great day! #gaming,Reel,21601,6886,1687,2024-03-19
484,209,Having a great day! #food,Video,84009,1467,748,2025-04-10
485,401,Having a great day! #food,Image,69106,5032,1210,2025-02-24
486,88,Having a great day! #fashion,Video,23781,5665,1655,2025-01-14
487,366,Having a great day! #fitness,Reel,16663,2347,780,2024-10-17
488,94,Having a great day! #tech,Video,61528,8238,592,2024-05-21
489,433,Having a great day! #food,Reel,10516,1266,1499,2024-05-02
490,478,Having a great day! #fitness,Video,65348,8447,1408,2024-12-12
491,177,Having a great day! #coding,Reel,86761,8662,1405,2024-11-07
492,69,Having a great day! #gaming,Video,6772,6935,1019,2024-07-13
493,136,Having a great day! #coding,Image,96834,9329,811,2024-04-21
494,236,Having a great day! #fashion,Video,46485,1765,15,2024-06-28
495,211,Having a great day! #food,Video,1005,2559,1580,2024-12-02
496,337,Having a great day! #tech,Image,18433,5805,1535,2024-08-10
497,486,Having a great day! #tech,Reel,34938,1956,867,2024-09-07
498,406,Having a great day! #travel,Image,20487,5648,1029,2024-01-07
499,249,Having a great day! #food,Video,32572,2508,1498,2024-09-18
500,415,Having a great day! #food,Reel,95842,8240,1256,2024-04-02
